State,year,number_breweries,population,residents_per_brewery
AZ,1997,34,4552.207,133.8884411764706
CA,1997,259,32217.708,124.39269498069497
CO,1997,112,3891.293,34.7436875
CT,1997,22,3268.514,148.5688181818182
DC,1997,5,528.752,105.75039999999998
DE,1997,6,735.024,122.504
FL,1997,86,14683.35,170.73662790697674
GA,1997,24,7486.094,311.92058333333335
HI,1997,8,1189.322,148.66525
IA,1997,12,2854.396,237.86633333333336
ID,1997,28,1210.638,43.237071428571426
IL,1997,39,12011.509,307.98741025641027
IN,1997,26,5872.37,225.86038461538462
KS,1997,17,2616.339,153.90229411764705
KY,1997,14,3907.816,279.1297142857143
LA,1997,11,4351.39,395.58090909090913
MA,1997,44,6115.476,138.98809090909091
MD,1997,27,5092.914,188.62644444444445
ME,1997,28,1245.215,44.471964285714286
MI,1997,60,9785.45,163.09083333333334
MN,1997,37,4687.726,126.69529729729729
MO,1997,22,5407.113,245.77786363636366
MT,1997,20,878.706,43.9353
NC,1997,40,7428.672,185.71679999999998
ND,1997,4,640.945,160.23625
NE,1997,9,1656.042,184.00466666666665
NH,1997,19,1173.239,61.74942105263158
NJ,1997,23,8054.178,350.18165217391305
NM,1997,26,1722.939,66.26688461538461
NV,1997,18,1675.581,93.08783333333332
NY,1997,84,18143.184,215.99028571428573
OH,1997,55,11212.498,203.8636
OK,1997,9,3314.259,368.251
OR,1997,86,3243.254,37.71225581395349
PA,1997,56,12015.888,214.56942857142857
RI,1997,6,986.966,164.49433333333334
SC,1997,21,3790.066,180.47933333333333
SD,1997,5,730.855,146.171
TN,1997,21,5378.433,256.1158571428571
TX,1997,71,19355.427,272.61164788732395
UT,1997,17,2065.397,121.49394117647059
VA,1997,23,6732.878,292.7338260869565
VT,1997,24,588.665,24.527708333333333
WA,1997,109,5604.105,51.41380733944954
WI,1997,57,5200.235,91.23219298245614
WV,1997,4,1815.588,453.897
WY,1997,14,480.031,34.28792857142857
AK,1998,14,615.205,43.94321428571429
AL,1998,9,4351.037,483.4485555555556
AR,1998,5,2538.202,507.64040000000006
AZ,1998,40,4667.277,116.681925
CA,1998,273,32682.794,119.71719413919415
CO,1998,105,3968.967,37.799685714285715
CT,1998,25,3272.563,130.90252
DC,1998,5,521.426,104.2852
DE,1998,8,744.066,93.00825
FL,1998,96,14908.23,155.2940625
GA,1998,26,7636.522,293.7123846153846
HI,1998,13,1190.472,91.57476923076923
IA,1998,13,2861.025,220.07884615384617
ID,1998,29,1230.923,42.44562068965517
IL,1998,44,12069.774,274.31304545454543
IN,1998,25,5907.617,236.30468000000002
KS,1998,17,2638.667,155.21570588235295
KY,1998,15,3934.31,262.2873333333333
LA,1998,14,4362.758,311.6255714285714
MA,1998,48,6144.407,128.00847916666666
MD,1998,27,5130.072,190.00266666666667
ME,1998,33,1247.554,37.80466666666667
