"","STATE","year","bottle_can_production","keg_production","sold_in_brewery","total_production"
"581","MA",2018,233473.01,154797.7,57305.4,445576.11
"582","MD",2018,221125.22,70807.06,30431.62,322363.9
"583","ME",2018,83500.42,97260.97,49649.08,230410.47
"584","MI",2018,902093.81,359017.74,126231.72,1387343.27
"585","MN",2018,442264.6,152641.92,85052.12,679958.64
"586","MO",2018,11927936.41,763851.31,31234.65,12723022.37
"587","MS",2018,6788.76,3666.89,10462.16,20917.81
"588","MT",2018,63609.62,44290.04,40821.3,148720.96
"589","NC",2018,935057.28,298636.47,181068.92,1414762.67
"590","ND",2018,241.84,299.88,6723.49,7265.21
"591","NE",2018,13114.23,11217.22,23984.61,48316.06
"592","NH",2018,2579021.31,295253.52,38366.97,2912641.8
"593","NJ",2018,2770939.78,370889.34,59781.77,3201610.89
"594","NM",2018,48212.94,37733.8,21234.68,107181.42
"595","NV",2018,12241.81,12423.11,16923.86,41588.78
"596","NY",2018,7428652.03,466871,112324.25,8007847.28
"597","OH",2018,16201555.3,1359048.25,99966.84,17660570.39
"598","OK",2018,183.59,968.47,16905.78,18057.84
"599","OR",2018,990592.29,404151.01,121831.69,1516574.99
"600","PA",2018,4126266.57,905758.65,78428.55,5110453.77
"601","RI",2018,32268.25,15630.68,15674.07,63573
"602","SC",2018,19482.87,14709.1,38081.25,72273.22
"603","SD",2018,877.45,2298.83,8928.3,12104.58
"604","TN",2018,1750984.8,54131.48,57029.15,1862145.43
"605","TX",2018,16987670.45,1069103.27,162547.36,18219321.08
"606","UT",2018,110817.78,51234.23,10153.87,172205.88
"607","VA",2018,12333484.1,1272328.62,118672.93,13724485.65
"608","VT",2018,187172.15,66620.54,19980.23,273772.92
"609","WA",2018,174684.94,222168.19,121733.57,518586.7
"610","WI",2018,9225292.71,1047608.3,71830.22,10344731.23
"611","WV",2018,20.73,3278.68,7252.5,10551.91
"612","WY",2018,11129.22,16731.39,15298.08,43158.69
